sample_size,missing_rate,missing_mechanism,data_type,method,bias,rmse,coverage,runtime
100,10,MCAR,scalar,Complete case,0.085,0.238,0.865,0.05
100,10,MCAR,scalar,FPCR MI,0.028,0.162,0.939,1.80
100,10,MCAR,scalar,PFR MI,0.024,0.155,0.947,2.40
100,10,MCAR,mixed,Complete case,0.104,0.268,0.842,0.06
100,10,MCAR,mixed,FPCR MI,0.035,0.184,0.934,2.15
100,10,MCAR,mixed,PFR MI,0.031,0.176,0.944,2.92
100,10,MAR,scalar,Complete case,0.112,0.276,0.821,0.05
100,10,MAR,scalar,FPCR MI,0.039,0.181,0.927,1.88
100,10,MAR,scalar,PFR MI,0.034,0.174,0.938,2.50
100,10,MAR,mixed,Complete case,0.136,0.309,0.796,0.06
100,10,MAR,mixed,FPCR MI,0.048,0.207,0.916,2.24
100,10,MAR,mixed,PFR MI,0.043,0.199,0.929,3.04
100,20,MCAR,scalar,Complete case,0.121,0.302,0.816,0.05
100,20,MCAR,scalar,FPCR MI,0.043,0.196,0.928,1.92
100,20,MCAR,scalar,PFR MI,0.038,0.188,0.939,2.58
100,20,MCAR,mixed,Complete case,0.148,0.341,0.781,0.06
100,20,MCAR,mixed,FPCR MI,0.055,0.226,0.918,2.31
100,20,MCAR,mixed,PFR MI,0.049,0.217,0.931,3.13
100,20,MAR,scalar,Complete case,0.154,0.352,0.764,0.05
100,20,MAR,scalar,FPCR MI,0.061,0.228,0.909,2.02
100,20,MAR,scalar,PFR MI,0.054,0.219,0.922,2.70
100,20,MAR,mixed,Complete case,0.184,0.397,0.731,0.06
100,20,MAR,mixed,FPCR MI,0.073,0.263,0.897,2.42
100,20,MAR,mixed,PFR MI,0.066,0.251,0.913,3.29
100,30,MCAR,scalar,Complete case,0.163,0.381,0.756,0.05
100,30,MCAR,scalar,FPCR MI,0.067,0.248,0.902,2.08
100,30,MCAR,scalar,PFR MI,0.059,0.237,0.918,2.79
100,30,MCAR,mixed,Complete case,0.198,0.431,0.712,0.06
100,30,MCAR,mixed,FPCR MI,0.082,0.289,0.888,2.51
100,30,MCAR,mixed,PFR MI,0.073,0.276,0.905,3.42
100,30,MAR,scalar,Complete case,0.202,0.438,0.698,0.05
100,30,MAR,scalar,FPCR MI,0.089,0.287,0.881,2.18
100,30,MAR,scalar,PFR MI,0.079,0.274,0.899,2.95
100,30,MAR,mixed,Complete case,0.241,0.492,0.652,0.06
100,30,MAR,mixed,FPCR MI,0.105,0.331,0.865,2.63
100,30,MAR,mixed,PFR MI,0.094,0.315,0.886,3.58
350,10,MCAR,scalar,Complete case,0.041,0.124,0.912,0.12
350,10,MCAR,scalar,FPCR MI,0.014,0.086,0.946,4.82
350,10,MCAR,scalar,PFR MI,0.012,0.082,0.951,6.38
350,10,MCAR,mixed,Complete case,0.052,0.142,0.898,0.14
350,10,MCAR,mixed,FPCR MI,0.018,0.097,0.943,5.77
350,10,MCAR,mixed,PFR MI,0.016,0.092,0.949,7.71
350,10,MAR,scalar,Complete case,0.057,0.148,0.889,0.12
350,10,MAR,scalar,FPCR MI,0.021,0.096,0.939,5.01
350,10,MAR,scalar,PFR MI,0.018,0.091,0.946,6.61
350,10,MAR,mixed,Complete case,0.069,0.166,0.871,0.14
350,10,MAR,mixed,FPCR MI,0.026,0.109,0.933,5.96
350,10,MAR,mixed,PFR MI,0.023,0.103,0.942,8.02
350,20,MCAR,scalar,Complete case,0.062,0.159,0.882,0.12
350,20,MCAR,scalar,FPCR MI,0.023,0.102,0.938,5.14
350,20,MCAR,scalar,PFR MI,0.020,0.097,0.945,6.85
350,20,MCAR,mixed,Complete case,0.076,0.181,0.858,0.14
350,20,MCAR,mixed,FPCR MI,0.029,0.117,0.931,6.15
350,20,MCAR,mixed,PFR MI,0.026,0.111,0.940,8.28
350,20,MAR,scalar,Complete case,0.081,0.187,0.847,0.12
350,20,MAR,scalar,FPCR MI,0.033,0.119,0.927,5.39
350,20,MAR,scalar,PFR MI,0.029,0.113,0.937,7.18
350,20,MAR,mixed,Complete case,0.097,0.211,0.823,0.14
350,20,MAR,mixed,FPCR MI,0.040,0.136,0.917,6.43
350,20,MAR,mixed,PFR MI,0.035,0.129,0.929,8.67
350,30,MCAR,scalar,Complete case,0.086,0.204,0.839,0.12
350,30,MCAR,scalar,FPCR MI,0.036,0.129,0.921,5.66
350,30,MCAR,scalar,PFR MI,0.031,0.122,0.933,7.54
350,30,MCAR,mixed,Complete case,0.104,0.232,0.812,0.14
350,30,MCAR,mixed,FPCR MI,0.044,0.148,0.910,6.78
350,30,MCAR,mixed,PFR MI,0.039,0.140,0.924,9.13
350,30,MAR,scalar,Complete case,0.111,0.241,0.796,0.12
350,30,MAR,scalar,FPCR MI,0.048,0.151,0.905,5.94
350,30,MAR,scalar,PFR MI,0.042,0.143,0.920,7.93
350,30,MAR,mixed,Complete case,0.132,0.273,0.766,0.14
350,30,MAR,mixed,FPCR MI,0.058,0.174,0.893,7.13
350,30,MAR,mixed,PFR MI,0.051,0.164,0.911,9.62
